Starting File Read-In:
Input number read: 91
Largest updated to: 91
Input number read: 322
Largest updated to: 322
Input number read: 702
Largest updated to: 702
Input number read: 8
Input number read: 999
Largest updated to: 999
Input number read: 12
Input number read: 133
Input number read: 14
Input number read: 415
Input number read: 213
Input number read: 23
Input number read: 724
Input number read: 825
Input number read: 226
Input number read: 127
Input number read: 538
Input number read: 29
Input number read: 91
Input number read: 91
Input number read: 91
Input number read: 730
Input number read: 361
Input number read: 637
Input number read: 213
Input number read: 213
Input number read: 388
Input number read: 91
Input number read: 322
Input number read: 73
Input number read: 213
Input number read: 4
Input number read: 95
Input number read: 16
Input number read: 702
Completed File Processing, Largest found: 999
